forecourts.location.latitude,forecourts.location.longitude,forecourts.location.city,forecourts.location.postcode,forecourts.location.county,forecourts.location.country,forecourts.fuel_price.E5,forecourts.fuel_price.E10,forecourts.fuel_price.B7S,forecourts.fuel_price.B7P,forecourts.fuel_price.B10,forecourts.fuel_price.HVO
53.729681,-1.862811,HALIFAX,HX3 6ED,WEST YORKSHIRE,ENGLAND,179.9,157.9,187.9,209.9,,
53.6837736,-1.8618715,HALIFAX,HX4 8BQ,WEST YORKSHIRE,ENGLAND,189.9,159.9,189.9,214.9,,
53.74302,-1.88233,HALIFAX,HX2 8BA,,ENGLAND,170.9,155.9,186.9,201.9,,
53.6827772,-1.8327837,HALIFAX,HX5 9AA,WEST YORKSHIRE,ENGLAND,176.9,155.9,187.9,208.9,,
53.72649,-1.85498,HALIFAX,HX1 1SB,,ENGLAND,165.9,153.9,186.9,,,
53.7191695,-1.9065875,HALIFAX,HX2 7NB,,England,185.9,161.9,189.9,209.9,,
53.71808,-1.85995,HALIFAX,HX1 2JN,,ENGLAND,178.9,159.9,194.9,213.9,,
53.7244164,-1.8870849,HALIFAX,HX1 4PG,,ENGLAND,,153.7,186.7,,,
53.7269337,-1.8752728,Halifax,HX1 5RL,,,179.9,159.9,189.9,209.9,,
53.7306893,-1.8433551,HALIFAX,HX3 6XG,CALDERDALE,E,169.9,155.9,185.9,199.9,,
53.74939,-1.81893,HALIFAX,HX3 7JT,WEST YORKSHIRE,ENGLAND,170.9,151.9,187.9,206.9,,
53.703387,-1.918342,SOWERBY BR / HALIFAX,HX6 3BL,WEST YORKSHIRE,ENGLAND,179.9,161.9,187.9,209.9,,
53.702677,-1.853486,HALIFAX,HX3 0QE,WEST YORKSHIRE,UNITED KINGDOM,189.9,161.9,195.9,219.9,,
